id;name;phone;time_arrived;time_summoned;time_done
1;limp dearly;(438) 690-3146 x6962;2024-01-16T15:07:35;2024-01-17T01:14:27;2024-01-16T16:53:20
2;mid;1-693-996-0007;2024-01-17T04:42:35;2024-01-17T09:52:23;2024-01-16T23:54:32
3;arm-rest anenst;865.686.8750;2024-01-16T13:28:52;2024-01-17T03:00:29;2024-01-17T09:07:06
4;excepting ugh sting;(692) 932-2561 x28551;2024-01-16T14:45:40;2024-01-17T00:48:43;2024-01-16T10:36:36
5;on;486-440-9762 x499;2024-01-16T18:26:15;2024-01-16T20:06:22;2024-01-16T22:17:18
6;over;373.816.1999 x07571;2024-01-16T21:00:56;2024-01-16T12:29:25;2024-01-16T14:02:23
7;realization;723-463-2394 x72168;2024-01-17T04:27:44;2024-01-17T08:02:56;2024-01-16T12:34:51
8;meanwhile rare;(557) 751-6079 x5005;2024-01-16T17:46:00;2024-01-17T08:21:51;2024-01-16T14:11:43
9;tritone;(411) 851-8971 x2144;2024-01-17T01:36:32;2024-01-17T09:16:30;2024-01-16T21:23:41
10;forenenst inasmuch restfully;1-931-871-5839;2024-01-16T12:32:19;2024-01-17T06:07:22;2024-01-17T04:23:13
